Teks,Label
b'Indonesia harus memperketat pintu-pintu masuk dari berbagai negara agar mutase Corona tidak menimbulkan permasalahan baru #SemangatPulihkanBangsa #LihatDenganJernih https://t.co/ZbshM8rouE',Positif
b'Organisasi Kesehatan Dunia Mengapresiasi Indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau Covid-19. https://t.co/ughKmiaWX8',Positif
b'Kementerian Kesehatan memperbaharui data harian penularan virus corona di Indonesia. #kumparanNews #jagajarak https://t.co/ZFM7nonGGn',Netral
"b'Pandemi virus corona membuat industri sepakbola Indonesia luluh lantak, terselenggaranya Piala Menpora diharapkan bisa menjadi titik kebangkitan.\n\nhttps://t.co/S671UqyVe5'",Negatif
"b'@PutraWadapi Ampun pak, 1 periode aja janji tinggal janji...2 periode hutang menggunung ...ekonomi minus tai ada kambing hitam namanya virus  Corona...3 periode Indonesia karam pak...'",Negatif
"b'@nnnnnadia_ Tes negatifnya di UK sebelum terbang kan?\nMereka masih berpotensi terpapar corona di perjalanan dari UK ke Indonesia, makanya harus isolasi lalu tes PCR lagi setelah 5 hari isolasi.'",Negatif
b'Suntikan Perdana Vaksin Covid-19 AstraZeneca di Indonesia Diberikan Kepada Para Kiai di Jawa Timur https://t.co/8fvkVKnL2g',Positif
b'Kec. Neglasari\n\n- Pelantikan Pengurus Pimpinan Cabang Dewan Indonesia (DMI) Kota Tangerang\n\n#kotatangerang\n#tangerangkota\xc2\xa0\n#tangerangayo\n#tangeranglive\n#kegiatankecamatan\n#kecamatan\n#wawaran\n#sidak\n#corona\n#covid19\n#siaranpers\n#beritakota https://t.co/HQZI58dd6p',Netral
"b""Dibuat dari sel janin hasil aborsi, Vatikan: Vaksin corona 'secara moral dapat diterima',\nhttps://t.co/FXMYAfDK32""",Netral
"b""'Jangankan Irene, GM internasional pun bisa kita kalahkan. Belum tau mereka the power of bapak\xc2\xb2 main catur di pos sambil sebat dan ngopi'.  Kok analoginya mirip awal\xc2\xb2 corona; 'Indonesia kebal corona krn sudah digembleng tiap hari hadapin borax, formalin, pewarna pakaian, plastik'""",Netral
b'Indonesia harus memperketat pintu-pintu masuk dari berbagai negara agar mutase Corona tidak menimbulkan permasalahan baru #SemangatPulihkanBangsa #LihatDenganJernih https://t.co/6ul5MuzhoF',Positif
"b'Penularan Covid Turun, Saham RALS &amp; MPPA Cs Mulai Naik Daun: Jakarta, CNBC Indonesia - Saham emiten ritel sepertinya mulai bangkit kembali, setelah kasus aktif virus corona (Covid-19) di Indonesia yang mulai\xc2\xa0... https://t.co/xyfOOcPzU7 #saham #investasi'",Negatif
b'Indonesia harus memperketat pintu-pintu masuk dari berbagai negara agar mutase Corona tidak menimbulkan permasalahan baru #SemangatPulihkanBangsa #LihatDenganJernih https://t.co/a3dtM6M8HA',Positif
b'Organisasi Kesehatan Dunia Mengapresiasi Indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau Covid-19. https://t.co/PLlJn0hzWx',Positif
b'Organisasi Kesehatan Dunia Mengapresiasi Indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau Covid-19. https://t.co/4XzcvZ9p5h',Positif
b'Indonesia sudah setahun lebih dihantam oleh pandemi COVID-19. Wabah tersebut meluluhlantakkan perekonomian. Imbasnya pun dirasakan ke sektor perpajakan. https://t.co/FU8hrh6PrR',Positif
b'@Vaksin_Update Siap siap karna #AstraZenecaLawanCorona\nTetap optimis menjadikan Indonesia bersih dri corona',Positif
"b'18.28 #BeritaSONORA - UPDATE Kasus Corona Indonesia 22 Maret 2021: Positif 5.744, Sembuh 7.177, Meninggal 161\n @tribunnews\nhttps://t.co/zyT0Un0ZQz'",Positif
"b'UPDATE Kasus Corona Indonesia 22 Maret 2021: Positif 5.744, Sembuh 7.177, Meninggal 161\n \nhttps://t.co/rOYcj8fcuq'",Positif
"b'BREAKING NEWS Update Corona Indonesia 22 Maret 2021: Tambah 5.744 Kasus, Total 1.465.928 Positif - Tribunnews https://t.co/sb3cdQQHWU https://t.co/r1V8kNBZoB'",Positif
