Teks,Label,Cleaning,Case Folding,Tweet Bersih
b'Indonesia harus memperketat pintu-pintu masuk dari berbagai negara agar mutase Corona tidak menimbulkan permasalahan baru #SemangatPulihkanBangsa #LihatDenganJernih https://t.co/ZbshM8rouE',1,Indonesia harus memperketat pintupintu masuk dari berbagai negara agar mutase Corona tidak menimbulkan permasalahan baru,indonesia harus memperketat pintupintu masuk dari berbagai negara agar mutase corona tidak menimbulkan permasalahan baru,indonesia ketat pintupintu masuk negara mutase corona timbul masalah
b'Organisasi Kesehatan Dunia Mengapresiasi Indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau Covid-19. https://t.co/ughKmiaWX8',1,Organisasi Kesehatan Dunia Mengapresiasi Indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau Covid,organisasi kesehatan dunia mengapresiasi indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau covid,organisasi sehat dunia apresiasi indonesia solidaritas global kait vaksin virus corona tipe covid
b'Kementerian Kesehatan memperbaharui data harian penularan virus corona di Indonesia. #kumparanNews #jagajarak https://t.co/ZFM7nonGGn',0,Kementerian Kesehatan memperbaharui data harian penularan virus corona Indonesia,kementerian kesehatan memperbaharui data harian penularan virus corona indonesia,menteri sehat baharu data hari tular virus corona indonesia
"b'Pandemi virus corona membuat industri sepakbola Indonesia luluh lantak, terselenggaranya Piala Menpora diharapkan bisa menjadi titik kebangkitan.\n\nhttps://t.co/S671UqyVe5'",-1,Pandemi virus corona membuat industri sepakbola Indonesia luluh lantak terselenggaranya Piala Menpora diharapkan bisa menjadi titik kebangkitan,pandemi virus corona membuat industri sepakbola indonesia luluh lantak terselenggaranya piala menpora diharapkan bisa menjadi titik kebangkitan,pandemi virus corona industri sepakbola indonesia luluh lantak selenggara piala menpora harap titik bangkit
"b'@PutraWadapi Ampun pak, 1 periode aja janji tinggal janji...2 periode hutang menggunung ...ekonomi minus tai ada kambing hitam namanya virus  Corona...3 periode Indonesia karam pak...'",-1,Ampun pak periode aja janji tinggal janji periode hutang menggunung ekonomi minus tai ada kambing hitam namanya virus Corona periode Indonesia karam pak,ampun pak periode aja janji tinggal janji periode hutang menggunung ekonomi minus tai ada kambing hitam namanya virus corona periode indonesia karam pak,ampun periode aja janji tinggal janji periode hutang gunung ekonomi minus tai kambing hitam nama virus corona periode indonesia karam
"b'@nnnnnadia_ Tes negatifnya di UK sebelum terbang kan?\nMereka masih berpotensi terpapar corona di perjalanan dari UK ke Indonesia, makanya harus isolasi lalu tes PCR lagi setelah 5 hari isolasi.'",-1,Tes negatifnya sebelum terbang kan Mereka masih berpotensi terpapar corona perjalanan dari Indonesia makanya harus isolasi lalu tes PCR lagi setelah hari isolasi,tes negatifnya sebelum terbang kan mereka masih berpotensi terpapar corona perjalanan dari indonesia makanya harus isolasi lalu tes pcr lagi setelah hari isolasi,tes negatif terbang potensi papar corona jalan indonesia isolasi tes pcr isolasi
b'Suntikan Perdana Vaksin Covid-19 AstraZeneca di Indonesia Diberikan Kepada Para Kiai di Jawa Timur https://t.co/8fvkVKnL2g',1,Suntikan Perdana Vaksin Covid AstraZeneca Indonesia Diberikan Kepada Para Kiai Jawa Timur,suntikan perdana vaksin covid astrazeneca indonesia diberikan kepada para kiai jawa timur,sunti perdana vaksin covid astrazeneca indonesia kiai jawa timur
b'Kec. Neglasari\n\n- Pelantikan Pengurus Pimpinan Cabang Dewan Indonesia (DMI) Kota Tangerang\n\n#kotatangerang\n#tangerangkota\xc2\xa0\n#tangerangayo\n#tangeranglive\n#kegiatankecamatan\n#kecamatan\n#wawaran\n#sidak\n#corona\n#covid19\n#siaranpers\n#beritakota https://t.co/HQZI58dd6p',0,Kec Neglasari Pelantikan Pengurus Pimpinan Cabang Dewan Indonesia DMI Kota Tangerang,kec neglasari pelantikan pengurus pimpinan cabang dewan indonesia dmi kota tangerang,kec neglasari lantik urus pimpin cabang dewan indonesia dmi kota tangerang
"b""Dibuat dari sel janin hasil aborsi, Vatikan: Vaksin corona 'secara moral dapat diterima',\nhttps://t.co/FXMYAfDK32""",0,Dibuat dari sel janin hasil   orsi Vatikan Vaksin corona secara moral dapat diterima,dibuat dari sel janin hasil   orsi vatikan vaksin corona secara moral dapat diterima,sel janin hasil orsi vatikan vaksin corona moral terima
"b""'Jangankan Irene, GM internasional pun bisa kita kalahkan. Belum tau mereka the power of bapak\xc2\xb2 main catur di pos sambil sebat dan ngopi'.  Kok analoginya mirip awal\xc2\xb2 corona; 'Indonesia kebal corona krn sudah digembleng tiap hari hadapin borax, formalin, pewarna pakaian, plastik'""",0,Jangankan Irene internasional pun bisa kita kalahkan Belum tau mereka the power bapak main catur pos sambil sebat dan ngopi Kok analoginya mirip awal corona Indonesia kebal corona krn sudah digembleng tiap hari hadapin borax formalin pewarna pakaian plastik,jangankan irene internasional pun bisa kita kalahkan belum tau mereka the power bapak main catur pos sambil sebat dan ngopi kok analoginya mirip awal corona indonesia kebal corona krn sudah digembleng tiap hari hadapin borax formalin pewarna pakaian plastik,irene internasional kalah tau the power main catur pos sebat ngopi analogi corona indonesia kebal corona krn gembleng hadapin borax formalin warna pakai plastik
