Created At,Screen Name,Full Tweet
2021-06-06 16:56:50,MARVEL THE UWU MAN,"b'CDU (Uni Kristen Demokratik) di Saxony-Anhalt -tempat saya dulu menuntut ilmu- kalau di Indonesia kayak PKS:\n\nHasil akhir selalu lebih besar dari pada survey. Apalagi pas corona time seperti ini, orang2 ""beriman"" tentunya tidak takut corona. https://t.co/7xNWrzuStY'"
2021-06-06 16:36:04,Eka J Sofian 《Exel》,"b'@aceshigh271 @NovalAssegaf Indonesia, Arab Saudi atau Allah yg ciptakan Corona dan takdir2 lainnya ?'"
2021-06-06 16:25:11,Yeo,b'@detikcom Kalo mau corona hilang di indonesia. Media bisa kerja sama untuk tidak memberitakan tentang corona lagi.\xf0\x9f\x98\x85'
2021-06-06 15:38:49,detikcom,b'Menkes RI memprediksi puncak Corona di Indonesia terjadi pada Juni 2021. Pakar memperkirakan lonjakan kasus baru bisa mencapai 50-100 ribu kasus perhari. https://t.co/TJyOtfkKPd'
2021-06-06 14:47:38,Anton Kurniawan,"b'@Jdjdnd42440239 @Corona_KafirNw AYO \nSILAHKAN \nDI TGGU BANTAH AN NYA \nINDONESIA \n* INDO = CAMPURAN \n( BANGSA, SUKU &amp; BAHASA ) \n* NESIA = DARAT / PULAU \n( NEGARA ) \nDARI \nSABANG s/d MERAUKE \nADLH \n""K I T A"" SEMUA https://t.co/2H7y2c8rGh'"
2021-06-06 14:19:18,Domasjuliono,b'@adegandi Itu kenangan untk ank lo dewasa nanti. Bahwasa na indonesia lgi dilanda CORONA.'
2021-06-06 13:25:32,sabar setiabudi,"b'@MrsRachelIn Gara gara dki ibu kota Negara , juara umum Corona se Indonesia , dan di lihat oleh puluhan duta besar negara sahabat yang ada di Jakarta , kemudian negara mereka , ambil tindakan keras terhadap jemaah Indonesia .'"
2021-06-06 13:25:14,sabar setiabudi,"b'Gara gara dki ibu kota Negara , juara umum Corona se Indonesia , dan di lihat oleh puluhan duta besar negara sahabat yang ada di Jakarta , kemudian negara mereka , ambil tindakan keras terhadap jemaah Indonesia . https://t.co/hnU2byA9GH'"
2021-06-06 13:24:29,detikHealth,b'Menkes RI memprediksi puncak Corona di Indonesia terjadi pada Juni 2021. Pakar memperkirakan lonjakan kasus baru bisa mencapai 50-100 ribu kasus perhari. https://t.co/kxPkNe8U1k'
2021-06-06 13:20:16,Giri Yatmoko,b'Mengerikan....\n.\n.\n.\n https://t.co/bo7QQ1rblZ\n\nMenkes RI memprediksi puncak Corona di Indonesia terjadi pada Juni 2021. Pakar memperkirakan lonjakan kasus baru bisa mencapai 50-100 ribu kasus perhari.'
2021-06-06 13:19:06,Opsiin,"b'Seperti Tak Ada Corona, 8 Negara Sudah \xe2\x80\x98Good Bye\xe2\x80\x99 Masker \xe2\x80\x93 CNBC Indonesia- https://t.co/ttEZ7oeROL https://t.co/UjCPgVH5qq'"
2021-06-06 13:18:52,Opsiin,"b'Seperti Tak Ada Corona, 8 Negara Sudah \xe2\x80\x98Good Bye\xe2\x80\x99 Masker \xe2\x80\x93 CNBC\xc2\xa0Indonesia https://t.co/TlLBsMgfMm'"
2021-06-06 13:04:16,Hmmurahmurahhm,"b'Virus Corona Varian Delta Menyebar di Indonesia, Ini Daftar Wilayahnya\nKlik untuk baca: https://t.co/vmiDofq7oD'"
2021-06-06 12:46:41,ყαყα,"b'@bertanyarl babi ngepet, asal mula pertama corona di Indonesia \xf0\x9f\x99\x82'"
2021-06-06 12:30:54,Opsiin,"b'Alamak! Corona di India Pecah Rekor Lagi, Tembus 412 Ribu \xe2\x80\x93 CNBC Indonesia- https://t.co/MFbolFiaOr https://t.co/kFhGYJAVcr'"
2021-06-06 12:30:40,Opsiin,"b'Alamak! Corona di India Pecah Rekor Lagi, Tembus 412 Ribu \xe2\x80\x93 CNBC\xc2\xa0Indonesia https://t.co/cKdpjWF5Wf'"
2021-06-06 12:29:55,Opsiin,"b'Bukan Menakuti, Menteri Ini Sebut Corona Bisa Sampai 2024 \xe2\x80\x93 CNBC Indonesia- https://t.co/0SMRMWXdJm https://t.co/A1iPAPhtom'"
2021-06-06 12:29:45,Opsiin,"b'Bukan Menakuti, Menteri Ini Sebut Corona Bisa Sampai 2024 \xe2\x80\x93 CNBC\xc2\xa0Indonesia https://t.co/q5oGWKQW2H'"
